Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#239	3950_1_1	-14.54	175196377720.3266	398721237621.9026	8260.85109639031	0.5187848373157216	17362000000.0	33106000000.0	14838116934.907885	33106000000.0	54.5380058353303	0.49770366373846525
Cell#219	3946_2_0	-37.58	153985520585.11856	481724318384.73596	8511.089496532852	0.5991184486592549	20287000000.0	36449000000.0	12663600328.288908	36449000000.0	44.59793238851088	0.5273514772821204
Cell#358	3949_0_3_1	-9.85	120951247828.78938	347835421906.66064	4881.351296619435	0.5776432178124653	31870000000.0	59222000000.0	28730923721.4863	59222000000.0	85.5296973525516	0.32189103293710464
Cell#132	3951_0_1_2	-14.23	169024103064.6123	438251276278.4436	8139.08254675947	0.5337514729930791	6669000000.0	13227000000.0	5719586870.536616	13227000000.0	6.121581668892087	0.4325807242026297
Cell#851	3950_3_3_0_2_1	-12.08	188459272362.5561	512397571826.30457	10773.034380702977	0.5507462045890703	27337000000.0	44111999999.99999	24034491963.473297	44111999999.99999	40.38843692335804	0.26441955888347146
Cell#335	3951_2_2_3_2_3	-43.49	115453161199.60715	457436489954.2678	4391.820055764551	0.5740060106208354	17406000000.0	29459000000.0	9835586648.936298	29459000000.0	14.264337129773747	0.3839949638246174
Cell#526	3950_3_1_1_0_0_3	-17.68	87234876944.93677	270366948276.28043	2564.080770305281	0.5804645450372191	967000000.0000001	2608000000.0	796234775.9644661	2608000000.0	0.2498781523503301	0.6278024429344561
Cell#397	3945_0_0_2_1	-44.07	53313177231.90555	294412717295.75824	865.6634467809059	0.5518740513905516	2580000000.0	7334000000.0	1442813437.9613082	7334000000.0	0.5098617399208242	0.4948983812377194
Cell#946	3948_2_3_0	-3.54	152603860575.8034	402062727644.41846	7936.224005732607	0.5837695503217368	30642000000.0	83323000000.0	29557244358.62722	83323000000.0	366.5244589204594	0.6477203451059289
Cell#595	3948_0_2_0	-17.44	108653109081.88876	336636818937.19556	3721.516869804642	0.5614587286651158	6032999999.999999	13199000000.000002	4981023796.903869	13199000000.000002	4.66126026240185	0.43344406399810687
Cell#77	3950_3_2_0_3_3	-21.53	115787865904.3313	420342688862.90674	4476.773096472039	0.5778558203097188	52450000000.0	70311000000.0	41154528227.72271	70311000000.0	44.138115424123136	0.16143186549681943
Cell#427	3950_3_0_3_1_3	-28.92	104914354556.04706	456500860138.54913	5097.196938760139	0.6805041744386221	8630000000.0	23383000000.000004	6134195356.403212	23383000000.000004	12.22196275226692	0.5699186578431888
Cell#715	3951_2_3_1_2	-29.12	131917099769.05902	333746589712.5111	5251.855850374479	0.5493578111595597	20773000000.000004	31621000000.0	14723859242.931349	31621000000.0	36.63639313174397	0.41108790414698676
Cell#888	3945_0_0_1_1	-15.66	88573133953.27783	306307474091.7839	2559.6125709126322	0.571195931993082	15175999999.999998	33906999999.999996	12800246179.032671	33906999999.999996	23.163531346306875	0.37599672531813216
