Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#34	3952_3_2_0	3.33	166150800288.0845	461939246403.0195	11190.728528488622	0.6366881146801626	23604000000.0	60495000000.0	24390490239.930992	60495000000.0	169.16721574958723	0.5332582353596371
Cell#381	3945_0_0_0_0_0	-37.56	82723291571.37708	456542785143.23267	3115.5351822434304	0.674743210481036	10997000000.0	31864000000.0	6866258999.746667	31863999999.999996	13.904057481876757	0.543063477156278
Cell#609	3950_3_1_0_1_1	-7.11	169242407548.06393	406605099213.1819	7489.299038421847	0.5113419121627817	4303999999.999999	10537000000.0	3997907952.336899	10537000000.0	5.626404032733549	0.5933113646004091
Cell#537	3946_0_3_2	-8.01	95527853748.7481	324760702809.6793	2724.4656414676956	0.5463999453438779	14452000000.0	33724000000.000004	13295402261.893154	33724000000.000004	22.1203162705267	0.35374815569582907
Cell#359	3945_3_3_3	-17.2	122337644396.7344	386678009818.01514	4125.513118018486	0.5250236564893285	15968000000.0	33676000000.000004	13220540481.877424	33676000000.0	24.02237720906355	0.37073089595012415
Cell#535	3947_2_3_0	-22.11	138414939378.1273	388411948720.4036	5811.73281077238	0.5507694629004218	6672000000.000001	15375000000.0	5196557035.706739	15375000000.0	9.559554403419513	0.5949810396666081
Cell#436	3950_2_3_0_0_0_2	-38.2	95409905032.32391	353530989656.84607	3414.34893699904	0.6124356847928003	17796000000.0	32618000000.000004	10997642291.197014	32618000000.000008	23.528433672265436	0.44105923358686133
Cell#621	3950_2_2_3_1	-34.81	82814752254.2359	316143601647.5192	2801.6344372799413	0.6391429848913431	9232999999.999998	14439000000.0	6018758760.642842	14439000000.0	3.617426081198704	0.3160042300345914
Cell#702	3952_1_2_2_2	-27.14	135834493927.18605	477744779663.41986	5924.159495454211	0.5666348768200763	29826000000.0	54928000000.00001	21732135629.343178	54928000000.00001	55.101483455144766	0.3415696217628019
Cell#530	3950_3_0_1_1_1	-54.72	51716654034.41722	292636441866.3419	1178.8224151762931	0.663886402309244	21732000000.0	50178999999.99999	9840524071.87866	50178999999.99999	32.853271682400226	0.5824666772009067
Cell#675	3950_3_3_1_2_3	-23.16	119211770947.89877	518062662351.85693	4653.606957429832	0.5722367037314072	5758999999.999999	16558000000.0	4424588032.092948	16558000000.0	4.260067802054295	0.46648256382745606
Cell#580	3945_1_2_2	-9.47	149946227049.24832	401815679140.82715	6700.061945290736	0.5458884009269089	18941000000.0	33595000000.0	17148116636.405256	33595000000.0	27.35357158579684	0.3049935054468686
Cell#159	3948_1_0_1_1	-19.66	127524517189.93423	396938812766.1516	5218.263701726501	0.5664600979343858	36872000000.0	58821000000.00001	29622099077.592	58821000000.00001	58.77220560291872	0.2588035113671137
Cell#828	3945_1_1_0_2	-1.09	147207449696.24072	379103762609.56525	6876.548363397268	0.5633203780579275	17214000000.000004	35016999999.99999	17025940783.179672	35016999999.99999	40.75235444718446	0.37494298615092925
Cell#95	3950_3_1_1_0_1_0	-40.45	89377954767.82977	327506926701.5632	2971.1001703710835	0.6098573111425454	15247000000.0	31200000000.0	9080395500.618042	31200000000.000004	25.493580686860824	0.5560459147531134
Cell#212	3948_2_0_0_1	-39.92	72041713131.63776	400173385718.38916	2740.463354485776	0.7266545007983363	10665000000.0	25925000000.0	6408330601.492762	25925000000.0	9.484848005432607	0.4805850749658512
Cell#169	3950_0_0_3_1	-49.21	70274159997.47957	333496784378.034	1968.3777169731945	0.6313330962909195	10758000000.0	22549000000.0	5463659063.906278	22549000000.0	8.08851731513974	0.5205361175246271
Cell#84	3951_1_1_0_1	-44.44	85774643369.59549	348037693747.0904	2608.6810940110263	0.5954586031776091	19930999999.999996	47756000000.0	11072892254.884043	47756000000.00001	50.658209571510945	0.6427822035783025
Cell#426	3961_2_3_3_2_3	-43.21	99734909293.81816	344144633819.48737	4396.29302576453	0.6648078192393287	36329000000.0	59092000000.0	20631756517.34057	59092000000.00001	109.70395393386787	0.5076623273295059
Cell#473	3950_2_0_0_3_3_0	-45.94	106198650510.55438	487742041917.54956	3926.517671942661	0.5900445184523982	14142999999.999998	22337000000.0	7645292767.10795	22337000000.0	5.94127583307772	0.31882013180066227
Cell#52	3943_0_1_2	-1.12	163833136750.26273	404146141149.3898	7528.7019406207855	0.5296125960411179	13661000000.0	34046000000.0	13507783383.83726	34046000000.0	54.58491477950767	0.5469557984686512
Cell#446	3947_1_3_3	-40.24	112455547182.6291	415988594819.69415	5421.487847840173	0.6547543029710234	34272000000.0	51083999999.99999	20480849504.020023	51083999999.99999	54.75630310116558	0.3613009413437532
Cell#665	3950_2_0_3_2_0	3.8	153412807949.58908	419830867536.8832	6940.7626655462545	0.5430527010401665	3001000000.0000005	9139000000.0	3114844794.598201	9139000000.0	3.5223684731094296	0.6025331988440431
Cell#155	3940_1_2	-23.41	205122319177.24127	474959951931.9352	11297.701071715404	0.518181759813328	6962000000.000001	13017000000.000002	5331803108.934144	13017000000.000002	9.07168105683657	0.5648976692665147
Cell#288	3949_3_1_3	-22.11	139426830356.07022	359284287047.49036	5987.124923583816	0.5549614362842343	6091000000.0	12020000000.0	4744343734.452861	12020000000.0	6.499683484661537	0.5373657190481438
Cell#637	3950_3_0_3_1_0	-17.53	111397244613.8312	382987226197.6189	4997.171499053992	0.6345818966379305	18884000000.0	34585000000.0	15573513857.283888	34585000000.0	24.391777992359334	0.3171283848225896
Cell#722	3950_2_0_3_0_0_2	-34.24	131763526910.30338	454862934238.1885	6472.670939876076	0.6105855938027817	28916000000.0	62519000000.0	19016315203.983974	62519000000.0	116.17182417756945	0.5667924245132114
Cell#352	3951_2_2_1_1	-0.32	175837422359.33527	472195771531.555	9414.063950626683	0.5517943679178372	4748000000.0	12505000000.0	4733319713.266954	12505000000.0	6.369886258991405	0.5332121032804726
Cell#96	3950_2_3_0_3_3	-20.94	151088995567.3657	468215791924.40533	5855.533174464233	0.5064661086698456	29861000000.0	55163999999.99999	23606987062.41418	55163999999.99999	55.355362514399324	0.315165947604184
Cell#944	3950_3_1_1_2_1_2	-40.07	84818205627.01508	400452946015.3954	3242.305123466536	0.6713327912040737	20090999999.999996	50787000000.0	12039516826.245787	50787000000.0	48.99570038439526	0.5813931720750712
Cell#322	3951_2_2_0_0	-48.74	101596371510.60432	421552360858.17474	3532.900730790315	0.5850426394831054	24601999999.999996	44556999999.99999	12611952087.378134	44556999999.99999	34.40782277154814	0.46509994064651433
Cell#455	3950_3_1_1_3_3_0	-25.23	139716111050.9983	461283153041.7248	5719.033159769976	0.5412710739933266	20187000000.0	48338000000.0	15094184382.370388	48338000000.0	60.652033602991246	0.515956434199458
Cell#702	3950_3_1_2_0_1_0	-19.03	173138078991.65558	511837941013.80664	9299.254721039602	0.5569695817507263	29826000000.0	54928000000.00001	24150229125.28578	54928000000.00001	75.97926009575669	0.3609327367293167
Cell#9	3945_0_1_0_0	1.67	98813170990.29515	271765129401.79156	3731.6368592586787	0.618208327282259	14479000000.000002	42710000000.0	14721276106.983553	42710000000.0	97.10258733087795	0.6693757006215156
Cell#945	3950_3_1_3_2_1	-33.6	178083416619.98544	502767697804.2213	8399.621341399736	0.5146433613152555	32671000000.0	66879999999.99999	21692584917.269283	66880000000.0	160.3536118087531	0.5837515772589582
Cell#30	3950_3_2_2_0_3	-41.13	95534465740.76663	422104266740.06287	2778.9480447272404	0.5517980157081229	8494000000.0	20350000000.0	5000131078.226293	20350000000.0	6.110262788344111	0.4943659548139738
Cell#756	3946_3_0_1_2	-23.57	151315385911.7122	453656467276.84875	7498.947553761514	0.5722912005432036	3373000000.0	7349000000.0	2577922153.631098	7349000000.0	1.8606320907548723	0.5291276479418886
Cell#958	3950_3_1_3_1_2	-32.27	137962888776.8128	483591992129.3638	5797.614565322436	0.5519025368139592	9783000000.0	20268000000.0	6626147210.932021	20268000000.0	8.935970960867428	0.451138399182169
Cell#825	3950_3_2_2_1	-2.15	185297956151.71216	428617075647.5066	8632.035716756856	0.5014019114868082	56653000000.0	79016000000.0	55436152783.21768	79016000000.0	78.52056530466571	0.15984484167343166
Cell#440	3950_3_3_3_1_0	-23.71	126146256939.2861	357308796155.5288	5383.669944649681	0.5816541685860347	10817000000.0	22535000000.0	8252426065.146327	22535000000.0	20.361052085391773	0.5467873585424419
Cell#42	3959_2_1	1.16	116639130939.21245	338776362846.98047	3414.363935367315	0.5009687434504058	16951000000.0	41504000000.0	17148165087.455256	41504000000.0	39.82386360916446	0.368005271748166
Cell#711	3939_0_1	22.67	219453693063.4724	456506620564.1246	10844.493020769185	0.4745278793215894	13220999999.999998	35891999999.99999	16217858987.106422	35891999999.99999	73.55520523077398	0.5288264706622254
Cell#142	3944_3_2_0	-27.18	100477326962.61923	397514582104.6262	3667.6640384102543	0.6027354018946458	22923000000.0	40629000000.0	16692214147.822859	40629000000.0	22.983710613206853	0.2872077301479005
Cell#234	3949_3_1_1	-43.13	132295203702.18182	416508566466.59216	5849.251642067897	0.5781041053517699	25999000000.000004	41828999999.99999	14785138263.556236	41828999999.99999	52.168428020882835	0.4885156542278326
Cell#835	3963_3_1_2_1	-70.18	49854459760.663086	445072933833.19727	3606.9172103264464	1.2046588418484183	22050000000.0	49986999999.99999	6575345687.887728	49986999999.99999	43.57201889357198	1.0038879737686575
Cell#909	3944_0_1	-8.99	161109372183.6515	423545165021.7371	6194.659353161713	0.48852625533644606	47387000000.0	93503999999.99998	43128235665.85922	93503999999.99998	224.21465581572247	0.3471924771839902
Cell#531	3951_2_2_2_0	10.97	153935497389.88977	388748735389.60626	6914.599899971269	0.5401877713159322	15764000000.000002	46595000000.0	17492739639.16332	46595000000.0	105.42116835367254	0.5869567216031606
Cell#912	3945_1_3_0	-59.06	64246829935.976944	353351150730.9972	1124.5891501788303	0.5219696372430155	833000000.0	2040000000.0	340870760.86623555	2040000000.0	0.038267656932594034	0.5738867343184828
Cell#621	3950_2_3_3_0_1	-41.67	81646415908.21399	375341578932.4906	2420.793122398474	0.6026174639758768	9232999999.999998	14439000000.0	5386270468.777829	14439000000.0	2.415040436623846	0.2885187526352767
Cell#582	3950_0_3_1_1	-39.21	37919899346.42571	369599137660.89075	1042.615640671925	0.8515201746369534	55326000000.0	99176000000.0	33634184090.208134	99176000000.0	50.332624104468564	0.2109326892448268
Cell#41	3950_1_3_2_0	-40.49	76513083893.7321	256994190556.6709	1447.4806397693083	0.4972452865678319	13499000000.0	28348000000.000004	8032705683.412593	28348000000.000004	18.109474490970808	0.5297745230564724
Cell#206	3946_0_2	-15.15	147426425283.83707	455465048363.56177	8193.453019348372	0.6139855479464524	29365000000.0	43811000000.00001	24917322193.31032	43811000000.00001	29.81037645901664	0.21912017313154797
Cell#557	3962_0_2	-30.0	153340401927.9697	438431084677.3369	7488.879097941158	0.56435426615288	18888000000.0	29006999999.999996	13222001861.335289	29006999999.999996	22.434652270153325	0.35823041591159377
Cell#407	3949_3_0_3	15.73	142724896424.05627	396634927960.22516	5867.529185573546	0.5366954244170056	11304000000.0	37034000000.0	13081772674.24827	37034000000.0	51.451498656499034	0.548317890938558
Cell#778	3944_3_1_1	-16.34	156452249562.66165	438949708156.89355	6307.0315495101195	0.5076106083468575	41081000000.0	95149000000.0	34370252184.56461	95149000000.0	286.98022152020957	0.49288234784247403
Cell#561	3950_3_1_2_1_2_2	-27.04	79282592369.70265	252037655980.55286	3909.5569006421797	0.7886529405713179	21041999999.999996	47358999999.99999	15352018828.924019	47358999999.99999	133.98648112365362	0.7539889763378986
Cell#204	3948_3_1_3	1.57	181059678813.09433	421939014658.4604	8445.018811271126	0.5075496878583311	10169000000.0	25635000000.0	10328901059.025309	25635000000.000004	33.706008682676476	0.5620818305643699
Cell#167	3950_3_2_0_2_1	-22.1	152268435447.5165	400950194991.9752	6068.665985016432	0.5116072992394616	14565999999.999998	28235000000.0	11346719200.082779	28235000000.0	27.23171108406941	0.45990396941814793
Cell#605	3950_3_2_1_2_2	-10.1	148410171394.28735	453757726119.5747	6045.19489437973	0.5238916623819305	13559000000.000002	35595000000.0	12188782488.268898	35595000000.0	34.83138511475431	0.48420029033131284
Cell#825	3952_1_3_1_3	-13.94	69708560993.51067	275509634147.47046	2226.4935146636712	0.6769001332948426	56653000000.0	79016000000.0	48754712155.63985	79016000000.0	53.16086034692898	0.14954758485270847
Cell#302	3952_2_2_3_1	-53.23	93552761465.78879	341605241520.6686	3327.658455003983	0.6166131196137606	20305000000.0	34766000000.0	9495709096.971897	34766000000.0	34.323234696730324	0.6169737738204367
Cell#232	3963_2_3_1	-43.95	101073157504.25716	435618354452.4525	5629.24100758088	0.7423164558156027	51571999999.99999	97652999999.99998	28908016702.56972	97652999999.99998	237.54784012316597	0.5331596154242924
Cell#523	3950_1_3_3_2_1	-26.17	102869117658.70169	388021063691.10925	3291.2167329892877	0.5576904741468953	13536000000.0	35518000000.0	9993849928.529669	35518000000.0	26.205319959700233	0.5122263429134204
Cell#584	3946_2_2	-15.16	140816451528.2177	401048728918.1326	6501.860492416754	0.5726185688285995	31081999999.999996	56718000000.0	26371143800.148945	56718000000.0	83.71116565329591	0.34694667342327007
Cell#360	3951_2_0_0_1	-28.51	95287808160.16457	295151036906.9374	3172.7591606601277	0.5911275712188111	4247000000.0	9062999999.999998	3036376898.0425477	9062999999.999998	2.865328620744637	0.5574828869996321
Cell#902	3950_2_0_0_0_0	-27.29	108165330806.56442	342432641858.30347	4710.654928556864	0.6345305889929371	19837000000.0	43055000000.0	14423282358.126783	43055000000.0	70.64790905303494	0.582754385875827
Cell#604	3948_1_1_1_0_2	-19.84	92533445462.85062	355316846422.6816	3773.0178212276887	0.6638129107789571	12210000000.0	29646000000.0	9787572879.912863	29646000000.0	21.40441793383267	0.4726903129559353
Cell#413	3939_2_1_0	-36.89	123141738563.83713	437540673349.7593	4932.043226401385	0.5703062831451094	2532000000.0	5680000000.0	1598360202.1174445	5680000000.0	0.8235740504879164	0.5677755278041404
Cell#149	3944_1_3	-8.76	162779749131.7416	415888515888.1491	7218.331783821917	0.5219369522157981	32688000000.000004	50948000000.0	29822885552.528446	50948000000.0	47.47908125504074	0.23104761581572744
Cell#790	3950_2_0_3_0_1_2	37.19	77962407094.93867	290401695688.04095	2316.687779332655	0.617374253932622	683000000.0	3698000000.0	936928518.5518545	3698000000.0000005	0.38911419235537203	0.6657820427140244
Cell#175	3950_3_1_2_0_0_0	16.44	144965345374.32843	469593101264.0332	7426.923800726406	0.5944841629327741	4416000000.0	14649000000.0	5142495350.824953	14649000000.0	6.365958131854948	0.4906343847502919
Cell#119	3945_0_0_2_2	-47.35	106256461250.70963	446653533609.5431	3904.2443434123625	0.5880485003141549	22861000000.0	44508999999.99999	12035682289.17743	44508999999.99999	34.68143954023191	0.4893029598442428
Cell#542	3950_0_1_2_1	41.6	140282181075.8878	429110773996.9375	5623.476558033913	0.5345642793499145	1483000000.0	7104000000.0	2100417672.006948	7103999999.999999	1.6714417463481346	0.6155168677295388
Cell#252	3950_1_3_1_0_3	-29.1	129875583794.49966	451179569405.47876	4935.831938047838	0.540944449767454	15300999999.999998	38769000000.0	10847654246.102499	38769000000.0	36.8594616406368	0.559678546157261
Cell#938	3945_0_1_2_2	-45.62	64568906955.514656	303195259631.28284	1542.6536521887228	0.6082901461333783	43619000000.0	82699000000.0	23717794786.305958	82699000000.0	94.29674389660859	0.4094247016512508
Cell#451	3951_2_1_2_0	3.93	99781468859.21107	253804922729.328	2241.4006891263357	0.47447120164926937	6632999999.999999	16762999999.999998	6894332770.119854	16763000000.0	9.13867979538639	0.4384796965917209
Cell#174	3939_1_2_2_3_3	-31.12	57941079515.04065	227098920004.36407	1192.9553069499227	0.5961087605370404	7877000000.000001	20731000000.0	5425979553.663269	20731000000.0	9.704680613698237	0.5741329480302624
Cell#163	3964_3_1_0	-18.61	115460449823.04892	298139650494.83624	3508.5276629116697	0.5130139886060535	34333000000.0	56047000000.0	27944017225.349506	56047000000.0	82.33039700574108	0.3247067108579341
Cell#144	3947_0_2_2	-14.32	144524930664.83307	416226502556.0265	7246.01139617292	0.5889883934046295	25045000000.0	46708999999.99999	21458083828.47003	46708999999.99999	60.90036328922696	0.36367965307127326
Cell#774	3949_1_1	-27.43	130427299807.28877	396139152254.24365	5360.2128347893295	0.5613355065655901	34055999999.999996	55096000000.0	24712607705.480022	55096000000.0	67.62191097470371	0.3327554250563131
Cell#828	3952_2_3_2_0	-7.54	154751926612.48645	446724361612.1106	10000.349806280894	0.6462068111534602	17214000000.000004	35016999999.99999	15915510181.058084	35016999999.99999	45.20212642509391	0.4224340024650337
Cell#363	3950_2_3_0_2_1	-20.28	146466812690.06305	417663911344.58875	6985.475653077275	0.5706354666389285	15800000000.0	31143000000.0	12595929676.278992	31143000000.0	32.51000748490843	0.4526664501125283
Cell#8	3950_0_1_3_3	-22.34	109442373591.19371	364868147720.8429	3656.7352295590135	0.552536858892005	12103000000.0	33483000000.000004	9399184729.655207	33483000000.000004	32.24769740626448	0.6041700182985599
Cell#340	3951_1_2_1	6.65	176525207173.68134	449173385497.8383	8521.948375446062	0.5229530733232183	12914000000.000002	31734000000.0	13772736883.504559	31734000000.0	35.766459599146195	0.4342279014382694
Cell#523	3948_1_1_0_3	-23.15	133059307930.30002	504851012633.7697	6313.991693729621	0.5971820466429805	13536000000.0	35518000000.0	10401545048.653093	35518000000.0	28.208805583760736	0.5106160885774184
Cell#643	3952_1_0_3_2	-21.25	127507394384.9287	401207787991.71594	7257.762455423217	0.668137740197142	37128000000.0	64199000000.0	29238955998.63229	64198999999.99999	127.69787928069292	0.3864826307713946
Cell#445	3950_3_2_1_1_3_2	5.02	88683111615.11725	354520745396.071	3460.5274642160584	0.6633308982684125	1554000000.0	6951000000.000001	1632075776.8648927	6951000000.000001	1.3775300119911427	0.7191346514274959
Cell#178	3945_0_0_3_3	-28.72	136227651428.93884	486058275082.9972	7014.543368806315	0.6148008126898551	17927000000.0	34140000000.0	12779205328.51399	34140000000.0	25.646529865541666	0.3962875761591651
Cell#410	3963_2_3_3_2	-31.53	90860039342.61545	389200861183.16235	5541.6958184121195	0.8193103127204547	12640999999.999998	24151999999.999996	8654812544.601122	24151999999.999996	15.800241775323414	0.4592764747776606
Cell#654	3945_0_2_3	-11.25	92818935025.47798	295328670374.4948	2721.778238786106	0.5620691998673365	22498000000.0	48911000000.0	19966324917.860073	48911000000.00001	54.81596692021646	0.37081338771114036
Cell#687	3951_2_3_0_1	-39.0	104928384250.70717	505191515138.3502	3444.3987007780634	0.5593243453315063	30320999999.999996	56357000000.0	18496231173.797874	56357000000.0	30.540146470320217	0.2987805435620143
Cell#82	3948_1_1_1_1	-18.85	141484286245.51514	501606747433.6328	7110.771424885242	0.5960053401917635	17920000000.0	53902000000.0	14542123246.071114	53902000000.0	84.47917803756434	0.6320435719509466
Cell#449	3962_0_3	-15.62	130459568742.47646	359237305909.99194	5440.428241605413	0.565380212390137	41678000000.00001	72423000000.0	35166936027.88929	72423000000.0	141.68515233028714	0.3384758124127046
Cell#798	3949_3_2_3_1	-17.52	146597091278.35245	458607322207.72345	7313.945087711408	0.5833786006555365	5040000000.0	10995999999.999998	4156938189.2734947	10995999999.999998	3.449001108730302	0.44675878388949564
Cell#476	3945_1_2_1	1.07	197339441550.41016	441192054259.10565	11034.697210470758	0.5323120721225908	24185000000.0	49611999999.99999	24442687429.594467	49611999999.99999	116.44793174415558	0.4414859993854655
Cell#324	3950_2_0_3_3_2_2	-41.02	108633331913.95204	408841143887.2471	4048.4066626249323	0.5857050457129417	11601000000.0	20608000000.0	6841675831.100186	20608000000.0	8.493771417585398	0.4259786097062979
Cell#287	3950_2_0_3_2_3	-14.29	170084497117.85455	444716201707.9313	8399.660894670533	0.5388478401162039	3346000000.0	7624000000.0	2868008303.2860594	7624000000.0	2.489421245206054	0.5501343862452472
Cell#771	3950_3_2_1_0_0	-12.99	167255940106.30365	417350963555.17255	7309.181202626902	0.5111552357432211	27499000000.000004	55907000000.0	23926728778.923115	55907000000.0	117.72305394552968	0.4534688225734997
Cell#72	3963_3_1_3	-27.81	80985182705.84288	310192687687.0643	4642.144493826972	0.8413055635067125	11671000000.0	24197000000.0	8425332058.782805	24197000000.0	22.358691932277747	0.5612239159925221
Cell#2	3950_2_0_2_3	2.53	82308693640.2591	219111670772.60498	1706.9321366688737	0.5019522654312573	2534000000.0000005	7407000000.0	2597623142.9146547	7406999999.999999	2.0731886432763886	0.5542979414266839
Cell#438	3950_2_3_0_2_3	-73.09	39317917420.22312	289420952071.3035	728.9693235200692	0.6866953715400705	3973000000.0000005	7322999999.999999	1068610996.6591756	7322999999.999999	0.4544794840042488	0.6308665526863866
Cell#791	3950_3_1_1_0_3_3	4.81	123667308383.95403	329260747000.4498	4370.922545532322	0.5346033143037445	1704000000.0	4752000000.0	1786289054.308776	4752000000.0	0.9015147467028486	0.5315384437585275
Cell#62	3950_3_3_1_3_3	-35.23	99363837171.84535	324330335625.5966	3142.2871276694855	0.5641499820952711	6122999999.999999	11849000000.0	3966175656.433088	11849000000.0	3.81884681026538	0.4927131735915646
Cell#927	3948_1_1_0_2_3	-30.46	145831512286.8832	472956286755.07446	7560.341122348744	0.5962375396877749	30864000000.0	66488000000.0	21463801517.3966	66488000000.0	142.3009879054417	0.5557728329201509
Cell#606	3950_0_0_2_2	-61.15	70533546976.12595	400236437698.3451	3279.7115320271146	0.8119365637810527	20530000000.0	39997000000.0	7975658356.807736	39997000000.0	31.06268182249092	0.6988000569667828
Cell#291	3950_0_2_1_3_2	-67.57	26079082953.616337	337941527378.831	471.3349162431808	0.8324774741727412	17236000000.0	28600000000.0	5590456485.638368	28600000000.0	2.7007228005992228	0.2939630427743571
Cell#764	3940_3_3	-2.6	154220850903.6511	417362918432.3999	7592.028155441476	0.5649835589679328	21476999999.999996	59843000000.0	20918032100.09388	59843000000.0	164.58292820289154	0.6132980266781336
Cell#132	3961_2_3_3_3	-36.26	118714641292.19028	472986178751.30743	4728.788441914742	0.5792561558913458	6669000000.0	13227000000.0	4251191887.873658	13227000000.0	3.0100033697029924	0.4081058146000334
Cell#757	3945_0_1_3_0	-26.71	95105114002.51326	327348174543.22345	2499.4829878696014	0.5256797190742619	27330000000.0	47631000000.0	20028820485.64177	47631000000.0	35.809614441124054	0.2987751330300933
Cell#350	3959_0_0	-23.16	90071362164.11888	433985590840.7851	3707.7577063017084	0.6760346285738609	4141000000.0	8945000000.0	3181518175.196918	8945000000.0	1.0181007754776055	0.3171472686724091
Cell#688	3963_3_2_2	-56.44	78725288757.00706	388472177016.4267	7305.404212257038	1.0856950633246731	14350000000.0	29121000000.0	6250747403.733997	29121000000.0	39.871171716034866	1.0101771722022361
Cell#242	3939_1_2_2_0	-17.92	133579655440.8735	424401150932.94543	9153.783582286853	0.7162423580906665	52905000000.0	94119000000.0	43424756021.8313	94119000000.0	279.4072284340929	0.3849297092076127
Cell#908	3950_3_1_2_2_3_2	-17.68	118053278368.71895	365123123193.01227	4686.994242845004	0.5799214304464468	28858000000.0	75075000000.0	23754501294.759033	75075000000.0	201.33911196232793	0.5973352679317421
Cell#511	3951_2_2_1_2_3	-44.47	51106154086.38096	241877853953.5927	1186.7028752935305	0.6740588223396645	26899000000.0	60298000000.0	14937313981.055195	60298000000.0	67.10566986769685	0.5484121880082005
Cell#802	3947_0_2_1_3	-39.56	76397902729.3615	312275414231.6548	2286.4975457864102	0.6258985324641244	20815000000.0	36060000000.0	12580315281.730595	36060000000.0	21.969700389502016	0.3725808608641191
Cell#489	3950_3_1_0_1_2	-29.96	160612772565.45483	447351753077.99036	7810.904958571636	0.5502633623663412	12761000000.0	21960000000.0	8937510083.866846	21960000000.0	15.747434184671677	0.4440055064382313
Cell#432	3951_2_2_0_3_3	-50.72	80197053626.3236	311871424410.3075	2358.240802324689	0.6055299961671913	11623000000.0	22737000000.0	5728188685.460771	22737000000.0	12.641926744604927	0.6207108252659247
Cell#557	3950_3_1_0_1_3	-29.88	148696213584.76016	414781636629.2228	5958.549958873566	0.5191231336578414	18888000000.0	29006999999.999996	13245168049.07663	29006999999.999996	20.169943801039253	0.3390742979803673
Cell#455	3947_2_0_3	-24.92	119200880598.83871	386926018108.79114	4231.628187855137	0.5457255496145336	20187000000.0	48338000000.0	15157360504.984835	48338000000.0	64.16059043945654	0.5284581449062656
Cell#476	3950_3_1_3_3_1	-18.07	148738908278.5137	437911863216.0576	6205.571014946199	0.5296223273985907	24185000000.0	49611999999.99999	19815207935.887527	49611999999.99999	64.48763519197821	0.4052654603407346
Cell#125	3950_2_0_3_0_1_0	6.73	106036564633.15556	356147912670.36584	4294.541424713887	0.6180203122018257	4713000000.0	17592000000.0	5030178393.3964205	17592000000.0	10.780609472290413	0.6527370578168582
Cell#807	3951_3_1_2_1	-10.53	106344925210.76288	289985869923.0047	3367.1226864338146	0.5456481665803002	28228000000.0	72944000000.0	25255942922.496647	72944000000.0	225.44055023320414	0.5945007823530062
Cell#607	3945_3_0_2	-10.43	172833173160.2679	437513443550.74756	8926.106363505744	0.5466431688203788	17175000000.0	36443000000.00001	15383500332.651678	36443000000.00001	55.561917299421935	0.4845442526311032
Cell#538	3950_3_2_1_1_1_2	-32.64	111929441909.72517	325409514054.75183	4027.273623189726	0.5669715023206301	14845000000.0	28330000000.0	9998510563.898676	28330000000.0	29.236398221501137	0.5407874750495116
Cell#98	3952_2_1_1_2	-35.41	84299291440.86272	367175219050.8472	2435.364672253268	0.5854072229901354	38541000000.0	67786000000.0	24891815314.371902	67785999999.99999	53.51722523502777	0.29389366443685394
Cell#604	3945_0_3_3_1	-21.47	79214277831.54225	304588464611.20325	2639.598721082885	0.6485828897582658	12210000000.0	29646000000.0	9589172531.533287	29646000000.0	20.403886338232933	0.4710590101268776
Cell#52	3950_0_1_0_3	-24.57	97002173439.60486	321150072913.8147	3577.592411624683	0.6166148293486163	13661000000.0	34046000000.0	10304736303.445465	34046000000.0	39.937103180144256	0.6132695440046847
Cell#30	3950_1_3_3_2_3	-13.41	115554267831.25562	320378960183.2368	3547.39530375659	0.5154289445183733	8494000000.0	20350000000.0	7354669624.725796	20350000000.0	14.145252817382337	0.5113781741550243
Cell#2	3950_3_0_1_3	10.69	191075199853.64056	473642050466.28033	9879.911205567772	0.5202022163694475	2534000000.0000005	7407000000.0	2804517380.0002646	7407000000.0	2.5892152360999274	0.5737542839513059
Cell#609	3949_1_0	-23.82	142401573395.53635	433167508339.07837	7293.442050995507	0.5997240711607484	4303999999.999999	10537000000.0	3278943583.3167953	10537000000.0	4.5202338778081055	0.6484052290764015
Cell#372	3951_2_1_1_3	-23.67	150122644793.61295	413074500794.4054	6395.5546843695165	0.532712516896812	5997999999.999999	12207000000.0	4577835525.676033	12207000000.0	5.354343579318846	0.5054671458406197
Cell#483	3950_0_1_0_2	-36.66	93156576315.31743	415459453675.3893	3663.047533419311	0.649692357628617	23900000000.0	45181999999.99999	15138975929.05253	45181999999.99999	32.12614033630587	0.37439735991414713
Cell#715	3948_1_2_2_0	-37.23	128832380182.79182	400441982969.0823	6758.27985739029	0.6381063337761289	20773000000.000004	31621000000.0	13039161742.086092	31620999999.999996	31.92365348788323	0.43331789185611297
Cell#728	3950_3_0_3_1_1	-30.59	107807723595.51875	417666939862.4533	4499.870022572803	0.6222288003699561	61698000000.0	114163000000.0	42824685165.458206	114163000000.0	244.89234767307607	0.3654209383386899
Cell#353	3947_2_0_2_2	-20.59	148317657022.8575	435316759544.4774	7637.3349038064	0.5892207890125396	34086999999.999996	65458000000.0	27068041746.066696	65458000000.0	134.34293199912827	0.4282038557863093
Cell#58	3950_3_1_2_3_2_1	-29.81	121353146470.2866	328265443911.2129	3974.9479193036323	0.5195348441326845	8282000000.0	12837000000.0	5813472479.590352	12837000000.0	4.571988881524065	0.3678044351834207
